seed,gate,status,false_alarm,seconds
0,precomputed_input,PASS,0,0.001798
0,temporal_window,PASS,0,0.005526
0,target_transforms,PASS,0,0.001757
0,operator_trace,PASS,0,0.010107
1,precomputed_input,PASS,0,0.001787
1,temporal_window,PASS,0,0.005695
1,target_transforms,PASS,0,0.001747
1,operator_trace,PASS,0,0.010134
2,precomputed_input,PASS,0,0.001789
2,temporal_window,PASS,0,0.005491
2,target_transforms,PASS,0,0.001741
2,operator_trace,PASS,0,0.010141
3,precomputed_input,PASS,0,0.001815
3,temporal_window,PASS,0,0.005562
3,target_transforms,PASS,0,0.001714
3,operator_trace,PASS,0,0.010095
4,precomputed_input,PASS,0,0.001778
4,temporal_window,PASS,0,0.005582
4,target_transforms,PASS,0,0.001755
4,operator_trace,PASS,0,0.010069
5,precomputed_input,PASS,0,0.001791
5,temporal_window,PASS,0,0.00554
5,target_transforms,PASS,0,0.00174
5,operator_trace,PASS,0,0.010114
6,precomputed_input,PASS,0,0.001803
6,temporal_window,PASS,0,0.005536
6,target_transforms,PASS,0,0.001746
6,operator_trace,PASS,0,0.010201
7,precomputed_input,PASS,0,0.001873
7,temporal_window,PASS,0,0.005764
7,target_transforms,PASS,0,0.001842
7,operator_trace,PASS,0,0.010297
8,precomputed_input,PASS,0,0.001828
8,temporal_window,PASS,0,0.005674
8,target_transforms,PASS,0,0.001756
8,operator_trace,PASS,0,0.010142
9,precomputed_input,PASS,0,0.001809
9,temporal_window,PASS,0,0.005527
9,target_transforms,PASS,0,0.001761
9,operator_trace,PASS,0,0.010098
10,precomputed_input,PASS,0,0.001807
10,temporal_window,PASS,0,0.005579
10,target_transforms,PASS,0,0.001721
10,operator_trace,PASS,0,0.010101
11,precomputed_input,PASS,0,0.001813
11,temporal_window,PASS,0,0.005642
11,target_transforms,PASS,0,0.001791
11,operator_trace,PASS,0,0.01033
12,precomputed_input,PASS,0,0.001837
12,temporal_window,PASS,0,0.005677
12,target_transforms,PASS,0,0.001779
12,operator_trace,PASS,0,0.010177
13,precomputed_input,PASS,0,0.001786
13,temporal_window,PASS,0,0.005646
13,target_transforms,PASS,0,0.001738
13,operator_trace,PASS,0,0.010083
14,precomputed_input,PASS,0,0.001787
14,temporal_window,PASS,0,0.005499
14,target_transforms,PASS,0,0.001749
14,operator_trace,PASS,0,0.010106
15,precomputed_input,PASS,0,0.001795
15,temporal_window,PASS,0,0.005518
15,target_transforms,PASS,0,0.001741
15,operator_trace,PASS,0,0.010127
16,precomputed_input,PASS,0,0.001778
16,temporal_window,PASS,0,0.005602
16,target_transforms,PASS,0,0.001723
16,operator_trace,PASS,0,0.010075
17,precomputed_input,PASS,0,0.001782
17,temporal_window,PASS,0,0.00552
17,target_transforms,PASS,0,0.001726
17,operator_trace,PASS,0,0.010062
18,precomputed_input,PASS,0,0.001796
18,temporal_window,PASS,0,0.005479
18,target_transforms,PASS,0,0.001772
18,operator_trace,PASS,0,0.010101
19,precomputed_input,PASS,0,0.001778
19,temporal_window,PASS,0,0.0055
19,target_transforms,PASS,0,0.001733
19,operator_trace,PASS,0,0.010149
