seed,gate,status,false_alarm,seconds
0,precomputed_input,PASS,0,0.002073
0,temporal_window,PASS,0,0.005818
0,target_transforms,PASS,0,0.001993
0,operator_trace,PASS,0,0.010571
1,precomputed_input,PASS,0,0.001893
1,temporal_window,PASS,0,0.005587
1,target_transforms,PASS,0,0.001846
1,operator_trace,PASS,0,0.010542
2,precomputed_input,PASS,0,0.001953
2,temporal_window,PASS,0,0.005614
2,target_transforms,PASS,0,0.001863
2,operator_trace,PASS,0,0.010474
3,precomputed_input,PASS,0,0.001953
3,temporal_window,PASS,0,0.005888
3,target_transforms,PASS,0,0.001969
3,operator_trace,PASS,0,0.010562
4,precomputed_input,PASS,0,0.002033
4,temporal_window,PASS,0,0.005582
4,target_transforms,PASS,0,0.001917
4,operator_trace,PASS,0,0.010737
5,precomputed_input,PASS,0,0.001903
5,temporal_window,PASS,0,0.005637
5,target_transforms,PASS,0,0.001875
5,operator_trace,PASS,0,0.010578
6,precomputed_input,PASS,0,0.001933
6,temporal_window,PASS,0,0.005576
6,target_transforms,PASS,0,0.001819
6,operator_trace,PASS,0,0.010375
7,precomputed_input,PASS,0,0.001852
7,temporal_window,PASS,0,0.00549
7,target_transforms,PASS,0,0.001809
7,operator_trace,PASS,0,0.01032
8,precomputed_input,PASS,0,0.001864
8,temporal_window,PASS,0,0.005649
8,target_transforms,PASS,0,0.00194
8,operator_trace,PASS,0,0.010856
9,precomputed_input,PASS,0,0.001915
9,temporal_window,PASS,0,0.005758
9,target_transforms,PASS,0,0.001907
9,operator_trace,PASS,0,0.010802
10,precomputed_input,PASS,0,0.001911
10,temporal_window,PASS,0,0.005605
10,target_transforms,PASS,0,0.001954
10,operator_trace,PASS,0,0.010871
11,precomputed_input,PASS,0,0.001935
11,temporal_window,PASS,0,0.00576
11,target_transforms,PASS,0,0.00195
11,operator_trace,PASS,0,0.010564
12,precomputed_input,PASS,0,0.001937
12,temporal_window,PASS,0,0.005694
12,target_transforms,PASS,0,0.001896
12,operator_trace,PASS,0,0.010632
13,precomputed_input,PASS,0,0.001943
13,temporal_window,PASS,0,0.005733
13,target_transforms,PASS,0,0.002003
13,operator_trace,PASS,0,0.010519
14,precomputed_input,PASS,0,0.001991
14,temporal_window,PASS,0,0.005672
14,target_transforms,PASS,0,0.001848
14,operator_trace,PASS,0,0.010517
15,precomputed_input,PASS,0,0.001901
15,temporal_window,PASS,0,0.00548
15,target_transforms,PASS,0,0.001864
15,operator_trace,PASS,0,0.010553
16,precomputed_input,PASS,0,0.001889
16,temporal_window,PASS,0,0.005629
16,target_transforms,PASS,0,0.001869
16,operator_trace,PASS,0,0.010513
17,precomputed_input,PASS,0,0.001913
17,temporal_window,PASS,0,0.005566
17,target_transforms,PASS,0,0.001906
17,operator_trace,PASS,0,0.010616
18,precomputed_input,PASS,0,0.002
18,temporal_window,PASS,0,0.005776
18,target_transforms,PASS,0,0.001884
18,operator_trace,PASS,0,0.010797
19,precomputed_input,PASS,0,0.001936
19,temporal_window,PASS,0,0.005682
19,target_transforms,PASS,0,0.001852
19,operator_trace,PASS,0,0.010548
